Coordinate_1,Coordinate_2,coord1,coord2,coord1_nocom,coord2_nocom,,Description,Segment IDs,Parent ID,Type,mesh_id,met_type
"[127859, 173510, 18894]","[127272, 168274, 18794]","127859, 173510, 18894","127272, 168274, 18794",127859 173510 18894,127272 168274 18794,,,,,Line,"864691135544588584,",MET8
"[151620, 174970, 18354]","[152422, 169262, 18464]","151620, 174970, 18354","152422, 169262, 18464",151620 174970 18354,152422 169262 18464,,,,,Line,"864691135577202181,",MET4
"[152990, 158753, 18529]","[152043, 152119, 18495]","152990, 158753, 18529","152043, 152119, 18495",152990 158753 18529,152043 152119 18495,,,,,Line,"864691135577202181,",MET4
"[151948, 151816, 18495]","[151884, 147860, 18491]","151948, 151816, 18495","151884, 147860, 18491",151948 151816 18495,151884 147860 18491,,,,,Line,"864691135577202181,",MET4
"[151977, 147490, 18507]","[150243, 138016, 18524]","151977, 147490, 18507","150243, 138016, 18524",151977 147490 18507,150243 138016 18524,,,,,Line,"864691135577202181,",MET4
"[150181, 137211, 18520]","[150880, 128658, 18585]","150181, 137211, 18520","150880, 128658, 18585",150181 137211 18520,150880 128658 18585,,,,,Line,"864691135577202181,",MET4
"[150611, 124059, 18615]","[150797, 112465, 18713]","150611, 124059, 18615","150797, 112465, 18713",150611 124059 18615,150797 112465 18713,,,,,Line,"864691135577202181,",MET4
"[152552, 168565, 18486]","[152608, 164043, 18563]","152552, 168565, 18486","152608, 164043, 18563",152552 168565 18486,152608 164043 18563,,,,,Line,"864691135577202181,",MET4
"[152662, 163803, 18562]","[152575, 159722, 18522]","152662, 163803, 18562","152575, 159722, 18522",152662 163803 18562,152575 159722 18522,,,,,Line,"864691135577202181,",MET4
"[111009, 160956, 18472]","[110145, 152451, 18512]","111009, 160956, 18472","110145, 152451, 18512",111009 160956 18472,110145 152451 18512,,,,,Line,"864691135785592004,",MET4
"[109016, 146494, 18545]","[107964, 139044, 18534]","109016, 146494, 18545","107964, 139044, 18534",109016 146494 18545,107964 139044 18534,,,,,Line,"864691135785592004,",MET4
"[106165, 130905, 18510]","[105652, 124108, 18476]","106165, 130905, 18510","105652, 124108, 18476",106165 130905 18510,105652 124108 18476,,,,,Line,"864691135785592004,",MET4
"[114253, 185890, 18530]","[113680, 182842, 18448]","114253, 185890, 18530","113680, 182842, 18448",114253 185890 18530,113680 182842 18448,,,,,Line,"864691135785592004,",MET4
"[113653, 191595, 18736]","[114350, 186232, 18536]","113653, 191595, 18736","114350, 186232, 18536",113653 191595 18736,114350 186232 18536,,,,,Line,"864691135785592004,",MET4
"[113045, 178142, 18393]","[112586, 173837, 18475]","113045, 178142, 18393","112586, 173837, 18475",113045 178142 18393,112586 173837 18475,,,,,Line,"864691135785592004,",MET4
"[112402, 173289, 18476]","[111162, 168345, 18422]","112402, 173289, 18476","111162, 168345, 18422",112402 173289 18476,111162 168345 18422,,,,,Line,"864691135785592004,",MET4
"[172697, 199094, 21027]","[172215, 194155, 20848]","172697, 199094, 21027","172215, 194155, 20848",172697 199094 21027,172215 194155 20848,,,,,Line,"864691136238652476,",MET6
"[166798, 160721, 20415]","[165299, 151400, 20436]","166798, 160721, 20415","165299, 151400, 20436",166798 160721 20415,165299 151400 20436,,,,,Line,"864691136238652476,",MET6
"[165199, 151135, 20436]","[164378, 143503, 20363]","165199, 151135, 20436","164378, 143503, 20363",165199 151135 20436,164378 143503 20363,,,,,Line,"864691136238652476,",MET6
"[163881, 137089, 20360]","[163502, 132048, 20353]","163881, 137089, 20360","163502, 132048, 20353",163881 137089 20360,163502 132048 20353,,,,,Line,"864691136238652476,",MET6
"[177292, 173536, 20742]","[176253, 162625, 20550]","177292, 173536, 20742","176253, 162625, 20550",177292 173536 20742,176253 162625 20550,,,,,Line,"864691135969447781,",MET4
"[176356, 159174, 20642]","[175074, 144572, 20628]","176356, 159174, 20642","175074, 144572, 20628",176356 159174 20642,175074 144572 20628,,,,,Line,"864691135969447781,",MET4
"[174931, 143463, 20634]","[173755, 127828, 20509]","174931, 143463, 20634","173755, 127828, 20509",174931 143463 20634,173755 127828 20509,,,,,Line,"864691135969447781,",MET4
"[173822, 126146, 20516]","[173527, 113650, 20633]","173822, 126146, 20516","173527, 113650, 20633",173822 126146 20516,173527 113650 20633,,,,,Line,"864691135969447781,",MET4
"[173539, 113410, 20645]","[173651, 108373, 20714]","173539, 113410, 20645","173651, 108373, 20714",173539 113410 20645,173651 108373 20714,,,,,Line,"864691135969447781,",MET4
"[173477, 107846, 20701]","[177720, 99206, 20929]","173477, 107846, 20701","177720, 99206, 20929",173477 107846 20701,177720 99206 20929,,,,,Line,"864691135969447781,",MET4
"[187536, 191760, 21497]","[188324, 186481, 21490]","187536, 191760, 21497","188324, 186481, 21490",187536 191760 21497,188324 186481 21490,,,,,Line,"864691135572082925,",MET8
"[173767, 211059, 22000]","[171920, 204931, 22077]","173767, 211059, 22000","171920, 204931, 22077",173767 211059 22000,171920 204931 22077,,,,,Line,"864691136195284556,",MET5
"[171817, 201843, 22002]","[169937, 194647, 21925]","171817, 201843, 22002","169937, 194647, 21925",171817 201843 22002,169937 194647 21925,,,,,Line,"864691136195284556,",MET5
"[170139, 192128, 21962]","[168688, 185687, 21948]","170139, 192128, 21962","168688, 185687, 21948",170139 192128 21962,168688 185687 21948,,,,,Line,"864691136195284556,",MET5
"[168588, 185264, 21934]","[168695, 176447, 21801]","168588, 185264, 21934","168695, 176447, 21801",168588 185264 21934,168695 176447 21801,,,,,Line,"864691136195284556,",MET5
"[168903, 174216, 21790]","[168890, 161502, 21794]","168903, 174216, 21790","168890, 161502, 21794",168903 174216 21790,168890 161502 21794,,,,,Line,"864691136195284556,",MET5
"[168748, 160298, 21752]","[166482, 148836, 21711]","168748, 160298, 21752","166482, 148836, 21711",168748 160298 21752,166482 148836 21711,,,,,Line,"864691136195284556,",MET5
"[218268, 167477, 23340]","[219674, 156325, 23502]","218268, 167477, 23340","219674, 156325, 23502",218268 167477 23340,219674 156325 23502,,,,,Line,"864691136118647832,",MET4
"[219639, 155784, 23511]","[217730, 146654, 23482]","219639, 155784, 23511","217730, 146654, 23482",219639 155784 23511,217730 146654 23482,,,,,Line,"864691136118647832,",MET4
"[217572, 146390, 23462]","[215209, 136055, 23495]","217572, 146390, 23462","215209, 136055, 23495",217572 146390 23462,215209 136055 23495,,,,,Line,"864691136118647832,",MET4
"[214945, 134684, 23529]","[215926, 118708, 23617]","214945, 134684, 23529","215926, 118708, 23617",214945 134684 23529,215926 118708 23617,,,,,Line,"864691136118647832,",MET4
"[215830, 117705, 23606]","[215094, 99455, 23631]","215830, 117705, 23606","215094, 99455, 23631",215830 117705 23606,215094 99455 23631,,,,,Line,"864691136118647832,",MET4
"[214740, 97768, 23457]","[211683, 94724, 22953]","214740, 97768, 23457","211683, 94724, 22953",214740 97768 23457,211683 94724 22953,,,,,Line,"864691136118647832,",MET4
"[234909, 174893, 23999]","[234090, 167553, 24032]","234909, 174893, 23999","234090, 167553, 24032",234909 174893 23999,234090 167553 24032,,,,,Line,"864691135699487522,",MET8
"[234092, 167013, 24034]","[233772, 160832, 24015]","234092, 167013, 24034","233772, 160832, 24015",234092 167013 24034,233772 160832 24015,,,,,Line,"864691135699487522,",MET8
"[233693, 160585, 24011]","[233581, 156818, 23969]","233693, 160585, 24011","233581, 156818, 23969",233693 160585 24011,233581 156818 23969,,,,,Line,"864691135699487522,",MET8
"[232672, 153635, 23925]","[231129, 147481, 23879]","232672, 153635, 23925","231129, 147481, 23879",232672 153635 23925,231129 147481 23879,,,,,Line,"864691135699487522,",MET8
"[230322, 146320, 23815]","[229017, 140043, 23645]","230322, 146320, 23815","229017, 140043, 23645",230322 146320 23815,229017 140043 23645,,,,,Line,"864691135699487522,",MET8
"[234645, 153458, 23209]","[239273, 155517, 22300]","234645, 153458, 23209","239273, 155517, 22300",234645 153458 23209,239273 155517 22300,,,,,Line,"864691135699487522,",MET8
"[197781, 109956, 24497]","[195060, 105843, 24487]","197781, 109956, 24497","195060, 105843, 24487",197781 109956 24497,195060 105843 24487,,,,,Line,"864691136618564493,",MET6
"[229170, 180054, 18802]","[228584, 175614, 18640]","229170, 180054, 18802","228584, 175614, 18640",229170 180054 18802,228584 175614 18640,,,,,Line,"864691135013417622,",MET4
"[228489, 175371, 18628]","[226374, 167113, 18487]","228489, 175371, 18628","226374, 167113, 18487",228489 175371 18628,226374 167113 18487,,,,,Line,"864691135013417622,",MET4
"[226325, 166686, 18483]","[225509, 160085, 18494]","226325, 166686, 18483","225509, 160085, 18494",226325 166686 18483,225509 160085 18494,,,,,Line,"864691135013417622,",MET4
"[225592, 159514, 18497]","[225117, 154849, 18577]","225592, 159514, 18497","225117, 154849, 18577",225592 159514 18497,225117 154849 18577,,,,,Line,"864691135013417622,",MET4
"[224525, 152803, 18525]","[223307, 143190, 18443]","224525, 152803, 18525","223307, 143190, 18443",224525 152803 18525,223307 143190 18443,,,,,Line,"864691135013417622,",MET4
"[223031, 142574, 18421]","[221958, 135431, 18294]","223031, 142574, 18421","221958, 135431, 18294",223031 142574 18421,221958 135431 18294,,,,,Line,"864691135013417622,",MET4
"[222067, 134840, 18286]","[222721, 126103, 18216]","222067, 134840, 18286","222721, 126103, 18216",222067 134840 18286,222721 126103 18216,,,,,Line,"864691135013417622,",MET4
"[222871, 125458, 18219]","[221328, 111104, 18227]","222871, 125458, 18219","221328, 111104, 18227",222871 125458 18219,221328 111104 18227,,,,,Line,"864691135013417622,",MET4
"[221214, 110382, 18232]","[220689, 106030, 18394]","221214, 110382, 18232","220689, 106030, 18394",221214 110382 18232,220689 106030 18394,,,,,Line,"864691135013417622,",MET4
"[220083, 103447, 18394]","[221482, 99723, 18645]","220083, 103447, 18394","221482, 99723, 18645",220083 103447 18394,221482 99723 18645,,,,,Line,"864691135013417622,",MET4
"[220220, 103576, 18384]","[212886, 98570, 17493]","220220, 103576, 18384","212886, 98570, 17493",220220 103576 18384,212886 98570 17493,,,,,Line,"864691135013417622,",MET4
"[236946, 187289, 18784]","[237530, 183408, 18704]","236946, 187289, 18784","237530, 183408, 18704",236946 187289 18784,237530 183408 18704,,,,,Line,"864691135118298333,",MET4
"[237645, 183204, 18694]","[237294, 178657, 18595]","237645, 183204, 18694","237294, 178657, 18595",237645 183204 18694,237294 178657 18595,,,,,Line,"864691135118298333,",MET4
"[173227, 207498, 21400]","[171918, 202347, 21292]","173227, 207498, 21400","171918, 202347, 21292",173227 207498 21400,171918 202347 21292,,,,,Line,"864691135697251738,",MET6
"[169156, 194422, 22606]","[169619, 187320, 22543]","169156, 194422, 22606","169619, 187320, 22543",169156 194422 22606,169619 187320 22543,,,,,Line,"864691135404765166,",MET6
"[243091, 198112, 24571]","[243267, 194742, 24568]","243091, 198112, 24571","243267, 194742, 24568",243091 198112 24571,243267 194742 24568,,,,,Line,"864691135341516741,",MET9
"[242201, 172800, 24323]","[241927, 160703, 24096]","242201, 172800, 24323","241927, 160703, 24096",242201 172800 24323,241927 160703 24096,,,,,Line,"864691135341516741,",MET9
"[241816, 157490, 24056]","[240996, 147247, 24012]","241816, 157490, 24056","240996, 147247, 24012",241816 157490 24056,240996 147247 24012,,,,,Line,"864691135341516741,",MET9
"[240014, 135445, 24035]","[239880, 127692, 23997]","240014, 135445, 24035","239880, 127692, 23997",240014 135445 24035,239880 127692 23997,,,,,Line,"864691135341516741,",MET9
"[239918, 127279, 24002]","[240425, 121001, 23983]","239918, 127279, 24002","240425, 121001, 23983",239918 127279 24002,240425 121001 23983,,,,,Line,"864691135341516741,",MET9
"[240362, 120418, 23987]","[241153, 115195, 23952]","240362, 120418, 23987","241153, 115195, 23952",240362 120418 23987,241153 115195 23952,,,,,Line,"864691135341516741,",MET9
"[242023, 107697, 23743]","[243714, 100533, 23453]","242023, 107697, 23743","243714, 100533, 23453",242023 107697 23743,243714 100533 23453,,,,,Line,"864691135341516741,",MET9